id	level	simp	trad	pinyin	tones	pos	notationSimp	notationTrad	defs
L1-0001	1	爱	愛	ài	4	V	爱	愛	to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen)
L1-0002	1	爱好	愛好	ài hào	4,4	V/N	爱好	愛好	to like; to be fond of; to take pleasure in; to be keen on; interest; hobby
L1-0003	1	八	八	bā	1	Num	八	八	eight
L1-0004	1	爸爸	爸爸	bà ba	4,5	N	爸爸|爸	爸爸|爸	(coll.) father; dad; CL:位[wei4]
L1-0005	1	吧	吧	ba	5	Aux	吧	吧	(modal particle indicating suggestion or surmise); ...right?; ...OK?; ...I presume.
L1-0006	1	白	白	bái	2	Adj	白	白	white; in vain; free of charge; (bound form) (of facts, the truth, a situation) clear; evident (e.g. 真相大白[zhen1 xiang4 da4 bai2]); (bound form) plain; without additions (e.g. 白飯|白饭[bai2 fan4]); (bound form) to explain; to state (e.g. 辯白|辩白[bian4 bai2]); (bound form) to give a disdainful look (e.g. 白了他一眼[bai2 le5 ta1 yi1 yan3]); (bound form) vernacular (e.g. 白話|白话[bai2 hua4]); (bound form) spoken lines in opera (e.g. 念白[nian4 bai2]); (bound form) reactionary; anti-communist (e.g. 白區|白区[bai2 qu1])
L1-0007	1	白天	白天	bái tiān	2,1	N	白天	白天	daytime; during the day; day; CL:個|个[ge4]
L1-0008	1	百	百	bǎi	3	Num	百	百	hundred; numerous; all kinds of
L1-0009	1	班	班	bān	1	N/M	班	班	team; class; grade; (military) squad; work shift; classifier for groups of people and scheduled transport vehicles
L1-0010	1	半	半	bàn	4	Num	半	半	half; semi-; incomplete; (after a number) and a half
L1-0011	1	半年	半年	bàn nián	4,2		半年	半年	half a year
L1-0012	1	半天	半天	bàn tiān	4,1		半天	半天	half of the day; a long time; quite a while; midair; CL:個|个[ge4]
L1-0013	1	帮	幫	bāng	1	V	帮	幫	to help; to assist; to support; for sb (i.e. as a help); hired (as worker); side (of pail, boat etc); outer layer; upper (of a shoe); group; gang; clique; party; secret society
L1-0014	1	帮忙	幫忙	bāng máng	1,2		帮忙	幫忙	to help; to lend a hand; to do a favor; to do a good turn
L1-0015	1	包	包	bāo	1	N/M/V	包	包	to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet; CL:個|个[ge4],隻|只[zhi1]
L1-0016	1	包子	包子	bāo zi	1,5	N	包子	包子	baozi; bao (steamed stuffed bun)
L1-0017	1	杯	杯	bēi	1	M	杯	杯	cup; trophy cup; classifier for certain containers of liquids: glass, cup
L1-0018	1	杯子	杯子	bēi zi	1,5	N	杯子	杯子	cup; glass; CL:個|个[ge4],隻|只[zhi1]
L1-0019	1	北	北	běi	3	N	北	北	north; (classical) to be defeated
L1-0020	1	北边	北邊	běi biān	3,1	N	北边	北邊	north; north side; northern part; to the north of
L1-0021	1	北京	北京	Běi jīng	3,1	N	北京	北京	Beijing municipality, capital of the People's Republic of China (short name 京[Jing1])
L1-0022	1	本	本	běn	3	M	本	本	(bound form) root; stem; (bound form) origin; source; (bound form) one's own; this; (bound form) this; the current (year etc); (bound form) original; (bound form) inherent; originally; initially; capital; principal; classifier for books, periodicals, files etc
L1-0023	1	本子	本子	běn zi	3,5	N	本子	本子	book; notebook; Japanese-style self-published comic (esp. an erotic one), aka "dōjinshi"; CL:本[ben3]; edition
L1-0024	1	比	比	bǐ	3	Prep/V	比	比	to compare; (followed by a noun and adjective) more {adj.} than {noun}; ratio; to gesture; (Taiwan pr. [bi4] in some compounds derived from Classical Chinese)
L1-0025	1	别	別	bié	2	Adv	别	別	to leave; to part (from); (literary) to differentiate; to distinguish; (dialect) to turn away; to turn aside; to avert (one's face, gaze etc); (bound form) other; another; different; don't ...!; to fasten with a pin or clip; to stick in; to insert (in order to hinder movement); (noun suffix) category (as in 性別|性别[xing4 bie2], 派別|派别[pai4 bie2])
L1-0026	1	别的	別的	bié de	2,5	Pron	别的	別的	else; other
L1-0027	1	别人	別人	bié ren	2,5	Pron	别人	別人	other people; others; other person
L1-0028	1	病	病	bìng	4	N/V	病	病	illness; CL:場|场[chang2]; disease; to fall ill; defect
L1-0029	1	病人	病人	bìng rén	4,2	N	病人	病人	sick person; patient; invalid; CL:個|个[ge4]
L1-0030	1	不大	不大	bù dà	4,4		不大	不大	not very (clear, far away etc); not too; not often; infrequently
L1-0031	1	不对	不對	bù duì	4,4	Adj	不对	不對	incorrect; wrong; amiss; abnormal; queer
L1-0032	1	不客气	不客氣	bù kè qi	4,4,5		不客气	不客氣	you're welcome; don't mention it; impolite; rude; blunt
L1-0033	1	不用	不用	bù yòng	4,4	Adv	不用	不用	need not
L1-0034	1	不	不	bù	4	Adv	不	不	no; not so; (bound form) not; un-
L1-0035	1	菜	菜	cài	4	N	菜	菜	vegetable; greens (CL:棵[ke1]); dish (of food) (CL:樣|样[yang4],道[dao4],盤|盘[pan2]); (of one's skills etc) weak; poor; (coll.) (one's) type
L1-0036	1	茶	茶	chá	2	N	茶	茶	tea; tea plant; CL:杯[bei1],壺|壶[hu2]
L1-0037	1	差	差	chà	4	V/Adj	差	差	different; wrong; mistaken; to fall short; to lack; not up to standard; inferior; Taiwan pr. [cha1]
L1-0038	1	常	常	cháng	2	Adv	常	常	always; ever; often; frequently; common; general; constant
L1-0039	1	常常	常常	cháng cháng	2,2	Adv	常常	常常	frequently; often
L1-0040	1	唱	唱	chàng	4	V	唱	唱	to sing; to call loudly; to chant
L1-0041	1	唱歌	唱歌	chàng gē	4,1		唱歌	唱歌	to sing a song
L1-0042	1	车	車	chē	1	N	车	車	car; vehicle; CL:輛|辆[liang4]; machine; to shape with a lathe; Kangxi radical 159
L1-0043	1	车票	車票	chē piào	1,4	N	车票	車票	ticket (for a bus or train)
L1-0044	1	车上	車上	chē shang			车上	車上	in or on a vehicle
L1-0045	1	车站	車站	chē zhàn	1,4	N	车站	車站	rail station; bus stop; CL:處|处[chu4],個|个[ge4]
L1-0046	1	吃	吃	chī	1	V	吃	吃	to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)
L1-0047	1	吃饭	吃飯	chī fàn	1,4		吃饭	吃飯	to have a meal; to eat; to make a living
L1-0048	1	出	出	chū	1	V	出	出	to go out; to come out; to arise; to occur; to produce; to yield; to go beyond; to exceed; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc
L1-0049	1	出来	出來	chū lái	1,2		出来	出來	to come out; to appear; to arise
L1-0050	1	出去	出去	chū qù	1,4		出去	出去	to go out
L1-0051	1	穿	穿	chuān	1	V	穿	穿	to bore through; to pierce; to perforate; to go through (e.g. a tunnel); to cross (e.g. a street); to thread; to string together; to wear; to put on (clothes, shoes etc.); verb complement indicating thoroughness or completion
L1-0052	1	床	床	chuáng	2	N	床	床	bed; couch (furniture that one can lie down on) (CL:張|张[zhang1]); bed; bottom (of rivers, oceans, gardens etc); frame; chassis; classifier for blankets, quilts etc
L1-0053	1	次	次	cì	4	M	次	次	next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time
L1-0054	1	从	從	cóng	2	Prep	从	從	from; through; via; (bound form) to follow; (bound form) to obey; (bound form) to engage in (an activity); (used before a negative) ever; (bound form) (Taiwan pr. [zong4]) retainer; attendant; (bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate; (bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor
L1-0055	1	错	錯	cuò	4	Adj/N	错	錯	mistake; wrong; bad; interlocking; complex; to grind; to polish; to alternate; to stagger; to miss; to let slip; to evade; to inlay with gold or silver
L1-0056	1	打	打	dǎ	3	V	打	打	a semantically light, transitive verb that is combined with various grammatical objects to form compound verbs and verb-object phrases with a diverse range of meanings (e.g. 打傘|打伞[da3 san3] "to hold an umbrella", 打電話|打电话[da3 dian4 hua4] "to make a phone call", 打針|打针[da3 zhen1] "to get an injection", 打手套[da3 shou3 tao4] "to knit gloves", 打氣|打气[da3 qi4] "to inflate"); to hit; to strike; to fight; (coll.) from; since (as in 打那以後|打那以后[da3 na4 yi3 hou4] "since then")
L1-0057	1	打车	打車	dǎ chē	3,1		打车	打車	to take a taxi (in town); to hitch a lift
L1-0058	1	打电话	打電話	dǎ diàn huà	3,4,4		打电话	打電話	to make a telephone call
L1-0059	1	打开	打開	dǎ kāi	3,1		打开	打開	to open; to show (a ticket); to turn on; to switch on
L1-0060	1	打球	打球	dǎ qiú	3,2		打球	打球	to play ball; to play with a ball
L1-0061	1	大	大	dà	4	Adj	大	大	big; large; great; older (than another person); eldest (as in 大姐[da4 jie3]); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother)
L1-0062	1	大学	大學	dà xué	4,2	N	大学	大學	university; college; CL:所[suo3]
L1-0063	1	大学生	大學生	dà xué shēng	4,2,1	N	大学生	大學生	university student; college student
L1-0064	1	到	到	dào	4	V	到	到	to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough
L1-0065	1	得到	得到	dé dào	2,4		得到	得到	to get; to obtain; to receive
L1-0066	1	地	地	de	5	Aux	地	地	-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct
